"body_weight_kg"	"tissue"	"chronological_age"	"group"	"monkey_id"	"Residual_adult"	"individual_sex"	"bw_adj"
3.6	"adrenal"	3	"HH"	"4S0"	-2.35636038757806	"F"	-0.847449744998611
5.26	"adrenal"	4	"HH"	"1Q8"	-0.491014259612552	"M"	-0.784811344910566
6.08	"adrenal"	11	"HH"	"6B4"	2.65416734690587	"F"	-0.849005976200779
4.64	"adrenal"	3	"HH"	"3R1"	-0.767744972352062	"M"	0.680248516197127
8.32	"adrenal"	8	"HH"	"5H7"	2.54963170330871	"M"	-1.78402412343255
10.2	"adrenal"	10	"HH"	"9C6"	2.7660075772371	"M"	-0.322857173253484
6.3	"adrenal"	9	"HH"	"7E0"	1.25863843429496	"F"	-0.542245824280478
5.84	"adrenal"	12	"HH"	"0B9"	0.560427830644287	"F"	-1.10018450170322
5.48	"adrenal"	11	"HH"	"5B6"	-0.610595090509113	"F"	-1.44900597620078
4.66	"adrenal"	7	"HH"	"5J6"	2.92918891691401	"F"	-1.83233882405313
4.8	"adrenal"	3	"HH"	"3R7"	-1.23392727399773	"M"	0.840248516197127
4.64	"adrenal"	3	"HH"	"6R9"	-1.09533522631291	"M"	0.680248516197127
6.28	"adrenal"	8	"HH"	"6H6"	-3.20757522438563	"F"	-0.434409910678962
8.46	"adrenal"	12	"HH"	"3A9"	0.437356529177822	"F"	1.51981549829678
6.74	"adrenal"	15	"HH"	"16S"	-2.44889458568319	"F"	-0.186307863908405
6.86	"adrenal"	14	"HH"	"80S"	-0.568007213289633	"F"	-0.0782427928782523
4.76	"adrenal"	4	"HH"	"3P7"	-1.83487905415462	"F"	-0.321331017781739
12.2	"adrenal"	9	"KK"	"5J3"	-0.831091013975989	"M"	1.83240016037635
5.52	"adrenal"	4	"KK"	"7T0"	-0.414679682127395	"F"	0.438668982218261
10.14	"adrenal"	14	"KK"	"98Z"	-0.0608991008069611	"M"	-0.117645195907892
6.94	"adrenal"	9	"KK"	"8I9"	2.94625160632792	"F"	0.0977541757195228
6.16	"adrenal"	11	"KK"	"4F1"	0.807342538324942	"F"	-0.769005976200779
5.18	"adrenal"	4	"KK"	"2T5"	-0.978689766812644	"F"	0.0986689822182611
9.06	"adrenal"	8	"KK"	"8L3"	2.33710635551048	"F"	2.34559008932104
7.5	"adrenal"	8	"KK"	"6L1"	2.66652856118104	"F"	0.785590089321038
5.5	"adrenal"	4	"KK"	"4T4"	-1.90181967326969	"F"	0.418668982218261
5	"adrenal"	4	"KK"	"5S3"	-1.88414084132383	"M"	-1.04481134491057
11.14	"adrenal"	8	"KK"	"5L3"	2.98880447754235	"M"	1.03597587656745
6.02	"adrenal"	4	"KK"	"6S2"	-2.34877647464316	"M"	-0.0248113449105665
8.36	"adrenal"	6	"KK"	"7O3"	-3.61550983332331	"M"	-0.626352303170366
7.62	"adrenal"	11	"KK"	"3F5"	0.220586244388886	"F"	0.690994023799221
7.44	"adrenal"	11	"KK"	"2F2"	0.933349465323449	"F"	0.510994023799221
7.74	"adrenal"	15	"KK"	"49V"	-2.56727646142705	"F"	0.813692136091595
